op                             PrivateUse1 kernel?  -> route
aten::empty.memory_format      yes                core kernel
aten::empty_strided            yes                core kernel
aten::_copy_from               yes                core kernel
aten::view                     yes                core kernel
aten::as_strided               yes                core kernel
aten::_local_scalar_dense      yes                core kernel
aten::mm                       no                 CPU fallback
aten::addmm                    no                 CPU fallback
aten::bmm                      no                 CPU fallback
aten::embedding                no                 CPU fallback
aten::_softmax                 no                 CPU fallback
aten::mul.Tensor               no                 CPU fallback
aten::rsqrt                    no                 CPU fallback
aten::mean.dim                 no                 CPU fallback
aten::silu                     no                 CPU fallback
aten::cat                      no                 CPU fallback
aten::argmax                   no                 CPU fallback
aten::triu                     no                 CPU fallback
